model,regime,run_id,n_concepts,fwt_lopez_paz
gru,cumulative,r-cumulative_sl10_st10,5,0.1152892017690994
gru,cumulative,r-cumulative_sl12_st12,5,0.14938329116277083
gru,cumulative,r-cumulative_sl12_st6,5,0.1528508244007446
gru,cumulative,r-cumulative_sl16_st16,5,0.13395667873871664
gru,cumulative,r-cumulative_sl24_st12,5,0.1541379291120551
gru,cumulative,r-cumulative_sl48_st24,5,0.15352366826001151
gru,cumulative,r-cumulative_sl48_st48,5,0.11388212984761359
gru,cumulative,r-cumulative_sl6_st6,5,0.12714176260047072
gru,cumulative,r-cumulative_sl8_st4,5,0.09989899618015079
gru,cumulative,r-cumulative_sl8_st8,5,0.12710221945850692
lstm,cumulative,r-cumulative_sl10_st10,5,0.0851588020235115
lstm,cumulative,r-cumulative_sl12_st12,5,0.08957705859562552
lstm,cumulative,r-cumulative_sl12_st6,5,0.08217759587746314
lstm,cumulative,r-cumulative_sl16_st16,5,0.09898203052108431
lstm,cumulative,r-cumulative_sl24_st12,5,0.1186853292306722
lstm,cumulative,r-cumulative_sl48_st24,5,0.14571811281323369
lstm,cumulative,r-cumulative_sl48_st48,5,0.15304793385800863
lstm,cumulative,r-cumulative_sl6_st6,5,0.08653399324359391
lstm,cumulative,r-cumulative_sl8_st4,5,0.08321499085000669
lstm,cumulative,r-cumulative_sl8_st8,5,0.12007248255423736
tcn,cumulative,r-cumulative_sl10_st10,5,0.17998966238538172
tcn,cumulative,r-cumulative_sl12_st12,5,0.1694415556317979
tcn,cumulative,r-cumulative_sl12_st6,5,0.17225925112885598
tcn,cumulative,r-cumulative_sl16_st16,5,0.1677929525571971
tcn,cumulative,r-cumulative_sl24_st12,5,0.13821831991540728
tcn,cumulative,r-cumulative_sl48_st24,5,0.16957981497435634
tcn,cumulative,r-cumulative_sl48_st48,5,0.17420588269917645
tcn,cumulative,r-cumulative_sl6_st6,5,0.1590282023030311
tcn,cumulative,r-cumulative_sl8_st4,5,0.16184041157976337
tcn,cumulative,r-cumulative_sl8_st8,5,0.14374352288318964
vgru,cumulative,r-cumulative_sl10_st10,5,0.18326420745550595
vgru,cumulative,r-cumulative_sl12_st12,5,0.18323988564784915
vgru,cumulative,r-cumulative_sl12_st6,5,0.1829708354326395
vgru,cumulative,r-cumulative_sl16_st16,5,0.1833982249744503
vgru,cumulative,r-cumulative_sl24_st12,5,0.1823527528512144
vgru,cumulative,r-cumulative_sl48_st24,5,0.18365004323490502
vgru,cumulative,r-cumulative_sl48_st48,5,0.17951343976281003
vgru,cumulative,r-cumulative_sl6_st6,5,0.18252844072395819
vgru,cumulative,r-cumulative_sl8_st4,5,0.1832628847936306
vgru,cumulative,r-cumulative_sl8_st8,5,0.1834803095442544
