dataset,model,regime,seq_len,stride,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,block,seed,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,diag_c4,final_c0,final_c1,final_c2,final_c3,final_c4,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id
smd,gru,cumulative,48,24,,,,,,,,MULTISEED,123,-0.014007611527642284,0.06793279986139586,0.014007611527642284,0.7705831913924349,0.7608537224426029,0.8888608619316459,5,10,10,0.8232,0.705,0.6899,0.8889,0.7459,0.8017,0.686,0.6946,0.876,0.7459,0.0020009264813231,0.0030228854604943,0.0013740425426506,0.0016488429178437,989.3,190,5,4944.9,r-cumulative_sl48_st24_sp0_seed123
smd,gru,cumulative,48,24,,,,,,,,MULTISEED,7,-0.06838021549837066,0.049749082750077875,0.06838021549837066,0.7447293820856301,0.622123427944588,0.880974621799741,5,10,10,0.8075,0.7039,0.6988,0.881,0.6326,0.6361,0.6158,0.5407,0.6854,0.6326,0.0018976511975292,0.00286686305951,0.001303122989931,0.001563740069579,938.2,205,5,1475.9,r-cumulative_sl48_st24_sp0_seed7
smd,gru,derpp,24,12,1000.0,,,0.5,,0.5,0.5,MULTISEED,123,-0.009251579627635387,0.05234439823861903,0.009251579627635387,0.7854320370709014,0.7749280736805864,0.8907157949361105,5,10,10,0.8058,0.7114,0.7016,0.8869,0.8215,0.8015,0.7018,0.6592,0.8907,0.8215,0.0019429993563027,0.0029353724680746,0.0013342636506428,0.0016011088174317,960.7,167,5,960.7,r-derpp_sl24_st12_sp0_bu1000_re0.5_al0.5_te0.5_seed123
smd,gru,derpp,24,12,1000.0,,,0.5,,0.5,0.5,MULTISEED,7,-0.007318739373688743,0.09697383126337017,0.007318739373688743,0.7813205283309216,0.7731359064571697,0.8944574561726616,5,10,10,0.8115,0.7136,0.6824,0.8915,0.8077,0.802,0.6945,0.667,0.8945,0.8077,0.0019791495189542,0.0029899860693707,0.0013590880965238,0.0016308979728468,978.5,167,5,978.6,r-derpp_sl24_st12_sp0_bu1000_re0.5_al0.5_te0.5_seed7
smd,gru,ewc,48,24,,,,,1000.0,,,MULTISEED,123,-0.029089515865817005,0.06699454777424607,0.029089515865817005,0.7827178588976123,0.7682968086777837,0.8787659726063118,5,10,10,0.8232,0.7157,0.6952,0.8788,0.8007,0.7409,0.7109,0.7475,0.8414,0.8007,0.0005336758058688,0.0008062469307276,0.0003664768185751,0.0004397701121525,263.9,145,5,263.9,r-ewc_sl48_st24_sp0_la1000_seed123
smd,gru,ewc,48,24,,,,,1000.0,,,MULTISEED,7,-0.03186908138793445,0.07353255194086568,0.03186908138793445,0.7876446046900119,0.764871943024394,0.887083001874637,5,10,10,0.8075,0.7045,0.7018,0.8871,0.8373,0.7694,0.6884,0.6438,0.8854,0.8373,0.0007158588085655,0.0010814786072243,0.0004915824613973,0.0005898961458269,353.9,190,5,1280.5,r-ewc_sl48_st24_sp0_la1000_seed7
smd,gru,experts,24,12,,,,,,,,MULTISEED,123,-0.03993544384195476,0.00512815489336913,0.03993544384195476,0.7615395758001876,0.7223791172625683,0.853080475981311,5,10,10,0.8058,0.6969,0.718,0.8531,0.7338,0.7226,0.7145,0.7152,0.7258,0.7338,0.000582797018376,0.0008804564534042,0.0004002084788206,0.0004802479745835,288.2,145,5,288.2,r-experts_sl24_st12_sp0_seed123
smd,gru,experts,24,12,,,,,,,,MULTISEED,7,-0.08484337165588361,0.05363446966916795,0.08484337165588361,0.7611823191012825,0.695300817693809,0.8578240916483602,5,10,10,0.8115,0.7101,0.6929,0.8578,0.7336,0.6347,0.6548,0.8061,0.6473,0.7336,0.0006708192901494,0.0010134354748861,0.0004606538168982,0.0005527816579878,331.7,160,5,331.7,r-experts_sl24_st12_sp0_seed7
smd,gru,gdumb,10,10,500.0,,,0.5,,,,MULTISEED,123,-0.01936182362951868,0.09270717759219155,0.01936182362951868,0.7779591736821109,0.772248467367651,0.8949274324208842,5,10,10,0.8042,0.689,0.6963,0.8949,0.8054,0.7911,0.6571,0.7503,0.8574,0.8054,0.0005446246953311,0.0008227878876659,0.0003739955707181,0.0004487923169477,269.3,129,5,269.3,r-gdumb_sl10_st10_sp0_bu500_re0.5_seed123
smd,gru,gdumb,10,10,500.0,,,0.5,,,,MULTISEED,7,-0.020056081579817208,0.062255003950648535,0.020056081579817208,0.7685423794117694,0.7549520746984995,0.884556255109476,5,10,10,0.7777,0.7074,0.6866,0.8846,0.7865,0.7801,0.6077,0.7232,0.8773,0.7865,0.0005506425602158,0.0008318793342697,0.0003781278723967,0.0004537514618729,272.3,136,5,349.4,r-gdumb_sl10_st10_sp0_bu500_re0.5_seed7
