dataset,model,regime,seq_len,stride,block,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,diag_c4,final_c0,final_c1,final_c2,final_c3,final_c4,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id
smd,gru,naive,24,12,B1,,,,,,,,-0.0177174207745046,0.1066683478665924,0.0177174207745046,0.7709610495693433,0.7643251588442095,0.8572008979541246,5,10,10,0.7996,0.7011,0.6973,0.8572,0.7996,0.7713,0.7004,0.7044,0.8459,0.7996,0.000523597181327,0.0007910207203328,0.0003595557917245,0.0004314649286082,258.9,135,5,258.9,r-naive_sl24_st12
smd,gru,cumulative,24,12,B1,,,,,,,,-0.0179748594210937,0.1352492432807353,0.0179748594210937,0.764053684801465,0.7350167178050994,0.8781111941364089,5,10,10,0.7996,0.6944,0.695,0.8781,0.7532,0.7796,0.7129,0.5746,0.8549,0.7532,4.912760000307979e-06,0.0020665999790529,0.0009393660377323,0.0011272339413206,676.3,139,5,676.4,r-cumulative_sl24_st12
smd,gru,experts,24,12,B1,,,,,,,,-0.0519998785879491,0.1110850044087163,0.0519998785879491,0.7576793170804501,0.7300530226427885,0.8458481776310771,5,10,10,0.7996,0.6989,0.7148,0.8458,0.7293,0.6994,0.7256,0.7623,0.7338,0.7293,0.0005510015012139,0.0008324216018315,0.000378374396066,0.0004540472057655,272.4,152,5,272.4,r-experts_sl24_st12
smd,gru,random-buffer,24,12,B1,500.0,,,0.5,,,,-0.0271358438375003,0.1474722950908072,0.0271358438375003,0.7801164936224454,0.7669432391079523,0.874537189740521,5,10,10,0.7996,0.6999,0.7031,0.8745,0.8234,0.749,0.6263,0.7822,0.8538,0.8234,0.0011110909265495,0.0016785727204394,0.0007629899248849,0.0009155827955544,549.4,149,5,549.4,r-random-buffer_sl24_st12_bu500_re0.5
smd,gru,random-buffer,24,12,B1,100.0,,,0.5,,,,-0.0284317578971475,0.1177175794014476,0.0284317578971475,0.7724348270230299,0.7612213178436439,0.8797476016043755,5,10,10,0.7996,0.7041,0.6882,0.8753,0.7951,0.751,0.6599,0.7204,0.8797,0.7951,0.0016652164800489,0.0025157139620576,0.0011435104428227,0.0013722035192349,823.3,222,5,823.3,r-random-buffer_sl24_st12_bu100_re0.5
smd,gru,random-buffer,24,12,B1,250.0,,,0.5,,,,-0.0278804982722116,0.1360043479878709,0.0278804982722116,0.7687159780199515,0.7570752386262749,0.8741254812936493,5,10,10,0.7996,0.6949,0.6921,0.8741,0.7828,0.7409,0.6495,0.7709,0.8412,0.7828,0.0010931163811061,0.0016514178036609,0.0007506467283088,0.000900771075352,540.5,141,5,540.5,r-random-buffer_sl24_st12_bu250_re0.5
smd,gru,random-buffer,24,12,B1,1000.0,,,0.5,,,,-0.0113622173290239,0.1382809782606498,0.0113622173290239,0.7773206521372452,0.7660518663074477,0.8813489193007574,5,10,10,0.7996,0.6926,0.7022,0.8813,0.8108,0.7783,0.6653,0.6977,0.8782,0.8108,0.000931602937545,0.0014074125167239,0.0006397345903361,0.0007676779263877,460.6,138,5,460.6,r-random-buffer_sl24_st12_bu1000_re0.5
smd,gru,random-buffer,24,12,B1,2000.0,,,0.5,,,,-0.0116260572168872,0.1175749543689827,0.0116260572168872,0.7791275956495394,0.772883013972551,0.8922857444213904,5,10,10,0.7996,0.7021,0.688,0.8904,0.8157,0.7838,0.7029,0.6698,0.8923,0.8157,3.0823157298029782e-06,0.0012966059042668,0.0005893677164916,0.0007072381877751,424.3,137,5,424.4,r-random-buffer_sl24_st12_bu2000_re0.5
smd,gru,random-buffer,24,12,B1,4000.0,,,0.5,,,,-0.0242954423759052,0.1066780202418524,0.0242954423759052,0.7727904153363616,0.751444295733626,0.8778138560588142,5,10,10,0.7996,0.7026,0.689,0.8778,0.7949,0.7448,0.6573,0.6843,0.8759,0.7949,0.0008850708549558,0.0013371145036693,0.0006077809886612,0.0007293335150081,437.6,135,5,444.9,r-random-buffer_sl24_st12_bu4000_re0.5
smd,gru,random-buffer,24,12,B1,500.0,,,0.3,,,,-0.0201665268255426,0.1290604895368375,0.0201665268255426,0.777833821995612,0.7711478831240047,0.8767091340893225,5,10,10,0.7996,0.6945,0.6927,0.8767,0.8257,0.7562,0.6263,0.776,0.8716,0.8257,2.801332377016374e-06,0.0011784075410358,0.0005356410476314,0.0006427664934044,385.7,163,5,385.7,r-random-buffer_sl24_st12_bu500_re0.3
