arch,regime,run_id,seq_len,stride,buffer_size,novelty_threshold,retention_threshold,replay_ratio,alpha,temperature,orig_final_avg_auc,elapsed_s
tcn,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,24,12,100,,,0.5,0.5,0.5,0.7664243893151912,533.6
tcn,strb,r-strb_sl24_st12_bu100_no0.2_re0.9_re0.5,24,12,100,0.2,0.9,0.5,,,0.7561023144436844,370.8
vgru,random-buffer,r-random-buffer_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.6958108489223548,196.3
vgru,reservoir,r-reservoir_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.6956519462114963,176.3
vgru,gdumb,r-gdumb_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.6907342488681613,196.2
vgru,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,24,12,100,,,0.5,0.5,0.5,0.6950842685207338,2173.0
vgru,strb,r-strb_sl12_st12_bu100_no0.2_re0.9_re0.5,12,12,100,0.2,0.9,0.5,,,0.6967062497785073,1026.8
vlstm,random-buffer,r-random-buffer_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.6957242002505399,219.3
vlstm,reservoir,r-reservoir_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.6956212413548698,432.8
vlstm,gdumb,r-gdumb_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.6907471986344591,1295.3
vlstm,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,24,12,100,,,0.5,0.5,0.5,0.6956465415989816,1170.5
vlstm,strb,r-strb_sl12_st12_bu100_no0.2_re0.9_re0.5,12,12,100,0.2,0.9,0.5,,,0.6986662244348659,104.3
vtcn,random-buffer,r-random-buffer_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.6953970181931745,150.2
vtcn,reservoir,r-reservoir_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.6953111901111064,138.5
vtcn,gdumb,r-gdumb_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.6905469670116887,189.8
vtcn,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,24,12,100,,,0.5,0.5,0.5,0.6948726662577069,1979.0
vtcn,strb,r-strb_sl16_st16_bu100_no0.2_re0.9_re0.5,16,16,100,0.2,0.9,0.5,,,0.6979489111517486,1949.5
vgru-kl,random-buffer,r-random-buffer_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.7198313132763776,139.3
vgru-kl,reservoir,r-reservoir_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.7284349030976873,136.2
vgru-kl,gdumb,r-gdumb_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.7080510946776299,484.4
vgru-kl,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,24,12,100,,,0.5,0.5,0.5,0.7139788657225374,1176.0
vgru-kl,strb,r-strb_sl48_st48_bu100_no0.2_re0.9_re0.5,48,48,100,0.2,0.9,0.5,,,0.7286039901996091,1940.8
vlstm-kl,random-buffer,r-random-buffer_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.7230538211188584,1083.8
vlstm-kl,reservoir,r-reservoir_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.7283234666079881,177.4
vlstm-kl,gdumb,r-gdumb_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.7160653581451847,197.0
vlstm-kl,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,24,12,100,,,0.5,0.5,0.5,0.728538075467651,330.0
vlstm-kl,strb,r-strb_sl48_st48_bu100_no0.2_re0.9_re0.5,48,48,100,0.2,0.9,0.5,,,0.7303301755054615,124.5
vtcn-kl,random-buffer,r-random-buffer_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.7271857360970627,146.2
vtcn-kl,reservoir,r-reservoir_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.7292935073176576,143.4
vtcn-kl,gdumb,r-gdumb_sl24_st12_bu100_re0.5,24,12,100,,,0.5,,,0.737019081446644,1053.0
vtcn-kl,derpp,r-derpp_sl24_st12_bu100_re0.5_al0.5_te0.5,24,12,100,,,0.5,0.5,0.5,0.7171782249552633,1083.7
vtcn-kl,strb,r-strb_sl8_st8_bu100_no0.35_re0.9_re0.5,8,8,100,0.35,0.9,0.5,,,0.7266301345340025,883.7
