dataset,model,regime,seq_len,stride,split_size,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,block,seed,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,final_c0,final_c1,final_c2,final_c3,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id
yahoo-a1,gru,cumulative,6,6,336,,,,,,,,MULTISEED,123,-0.18547177281428665,-0.04729827932716837,0.18547177281428665,0.7889017987317499,0.6035152166802096,0.8835024928774928,4,6,6,0.838,0.8793,0.8184,0.6199,0.3593,0.8835,0.5514,0.6199,0.0002872228671543,0.0004339199051771,0.0001972368189256,0.0002366830862515,142.0,96,4,142.0,r-cumulative_sl6_st6_sp336_seed123
yahoo-a1,gru,cumulative,6,6,336,,,,,,,,MULTISEED,7,-0.13786129349194118,-0.0628288121166574,0.13786129349194118,0.7417440865926312,0.6379218781491696,0.8699620542292956,4,6,6,0.8238,0.8602,0.6834,0.5995,0.4536,0.8623,0.6363,0.5995,0.0003129111924189,0.0004727283599963,0.0002148770086784,0.0002578513513179,154.7,113,4,154.7,r-cumulative_sl6_st6_sp336_seed7
yahoo-a1,gru,derpp,24,24,336,50.0,,,0.5,,0.5,0.5,MULTISEED,123,-0.1334157106387944,-0.11337091731457882,0.1334157106387944,0.7781755183064213,0.6965739146449067,0.9031914382047095,4,6,6,0.9012,0.8529,0.6267,0.7319,0.6122,0.8467,0.5955,0.7319,0.0002214714734968,0.0003345864545234,0.0001520851384816,0.0001825013160418,109.5,114,4,109.5,r-derpp_sl24_st24_sp336_bu50_re0.5_al0.5_te0.5_seed123
yahoo-a1,gru,derpp,24,24,336,50.0,,,0.5,,0.5,0.5,MULTISEED,7,-0.2322986642174565,-0.15044302606069623,0.23229866421745657,0.7468825266867309,0.6156533006439984,0.8940077723454933,4,6,6,0.8668,0.8583,0.5248,0.7376,0.3732,0.8424,0.5095,0.7376,0.0001871628456176,0.0002827549387962,0.0001285253442138,0.0001542295945823,92.5,82,4,1017.5,r-derpp_sl24_st24_sp336_bu50_re0.5_al0.5_te0.5_seed7
yahoo-a1,gru,ewc,8,8,336,,,,,1000.0,,,MULTISEED,123,-0.17345115106622203,-0.10188342437702257,0.17345115106622203,0.7060987461013838,0.616460009754872,0.8665394890907255,4,6,6,0.7932,0.8369,0.5777,0.6166,0.3812,0.8583,0.6097,0.6166,7.986964106445974e-05,0.0001206624925814,5.484671973261155e-05,6.581577284882466e-05,39.5,56,4,39.5,r-ewc_sl8_st8_sp336_la1000_seed123
yahoo-a1,gru,ewc,8,8,336,,,,,1000.0,,,MULTISEED,7,-0.10143944852881621,-0.0464142458645857,0.10143944852881621,0.7212628299133357,0.6708328782803488,0.8622463139635732,4,6,6,0.757,0.8498,0.6582,0.6201,0.5287,0.8359,0.6987,0.6201,7.462837223722916e-05,0.0001127442829519,5.124753802148108e-05,6.149674493043374e-05,36.9,51,4,36.9,r-ewc_sl8_st8_sp336_la1000_seed7
yahoo-a1,gru,experts,6,6,336,,,,,,,,MULTISEED,123,-0.23475955524639383,-0.10310132076209737,0.23475955524639383,0.7248637991737156,0.5772332078466778,0.8777480995677447,4,6,6,0.838,0.8619,0.5931,0.6064,0.3114,0.8491,0.542,0.6064,4.053574690127196e-07,0.0001705175373757,7.750813917955383e-05,9.3009398196203e-05,55.8,91,4,55.8,r-experts_sl6_st6_sp336_seed123
yahoo-a1,gru,experts,6,6,336,,,,,,,,MULTISEED,7,-0.2198554893794028,-0.11092471192741775,0.2198554893794028,0.7093797211966226,0.5960271188996206,0.8680852586078402,4,6,6,0.8238,0.8536,0.5595,0.6006,0.3622,0.8531,0.5682,0.6006,3.972817174104285e-07,0.000167120394407,7.596401197822869e-05,9.115638242879262e-05,54.7,89,4,54.7,r-experts_sl6_st6_sp336_seed7
yahoo-a1,gru,gdumb,24,24,336,50.0,,,0.5,,,,MULTISEED,123,-0.1365713261653554,-0.10248686589262233,0.1365713261653554,0.7960507307948502,0.7071861784148155,0.9031914382047095,4,6,6,0.9012,0.8677,0.6991,0.7163,0.6193,0.8491,0.644,0.7163,0.0001410359902594,0.0002130691199008,9.684982691154196e-05,0.0001162192929893,69.7,107,4,69.7,r-gdumb_sl24_st24_sp336_bu50_re0.5_seed123
yahoo-a1,gru,gdumb,24,24,336,50.0,,,0.5,,,,MULTISEED,7,-0.22964537937359328,-0.14572288358307692,0.22964537937359328,0.7560236988211828,0.6231279321995928,0.8940077723454933,4,6,6,0.8668,0.8538,0.5679,0.7356,0.3906,0.8443,0.522,0.7356,0.0001237727370585,0.0001869887828225,8.499512442116006e-05,0.0001019936584013,61.2,83,4,61.2,r-gdumb_sl24_st24_sp336_bu50_re0.5_seed7
