dataset,model,regime,seq_len,stride,split_size,block,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,final_c0,final_c1,final_c2,final_c3,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id,diag_c4,diag_c5,diag_c6,diag_c7,final_c4,final_c5,final_c6,final_c7
yahoo-a1,gru,cumulative,12,12,336,B1,,,,,,,,-0.1740244914872163,-0.0835140501772603,0.1740244914872163,0.7044610579851767,0.6015128332017162,0.8359490769167792,4,6,6,0.7548,0.8359,0.5815,0.6456,0.3698,0.8218,0.5688,0.6456,0.0002476972372307,0.0003742068406903,0.0001700944934648,0.0002041123472255,122.5,121,4,122.5,r-cumulative_sl12_st12_sp336,,,,,,,,
yahoo-a1,gru,random-buffer,12,12,336,B1,100.0,,,0.5,,,,-0.1221577074831475,-0.0634824486686907,0.1221577074831475,0.7206200240252294,0.6482588522310508,0.8297406088392211,4,6,6,0.7548,0.829,0.6566,0.6421,0.471,0.8284,0.6516,0.6421,0.0001264305174114,0.0001910040056009,8.682026053106205e-05,0.0001041837450698,62.5,83,4,62.5,r-random-buffer_sl12_st12_sp336_bu100_re0.5,,,,,,,,
yahoo-a1,gru,random-buffer,12,12,336,B1,500.0,,,0.5,,,,-0.1091788320863589,-0.0571715858340255,0.1091788320863589,0.7234114159593885,0.6465963455925585,0.832753421479935,4,6,6,0.7548,0.8239,0.6821,0.6328,0.4692,0.8328,0.6516,0.6328,0.0001168983239566,0.0001766033120872,8.02744399329337e-05,9.632887215431158e-05,57.8,75,4,57.8,r-random-buffer_sl12_st12_sp336_bu500_re0.5,,,,,,,,
yahoo-a1,gru,random-buffer,12,12,336,B1,50.0,,,,,,,-0.1215491436249807,-0.056972138205974,0.1215491436249807,0.7239782438046318,0.632304358806199,0.8322458280459017,4,6,6,0.7548,0.8322,0.6699,0.6389,0.4432,0.8229,0.6241,0.6389,2.835093845938703e-07,0.0001192609629263,5.420969265008656e-05,6.505127027630806e-05,39.0,64,4,39.0,r-random-buffer_sl12_st12_sp336_bu50,,,,,,,,
yahoo-a1,gru,reservoir,12,12,336,B1,100.0,,,0.5,,,,-0.0992811138433134,-0.0602792311575413,0.0992811138433134,0.726379089173727,0.6702512637797652,0.8360937137555092,4,6,6,0.7548,0.8361,0.6846,0.63,0.5306,0.8308,0.6896,0.63,0.0001217439445343,0.0001839237989357,8.360199351833823e-05,0.0001003218054173,60.2,80,4,60.2,r-reservoir_sl12_st12_sp336_bu100_re0.5,,,,,,,,
yahoo-a1,gru,reservoir,12,12,336,B1,250.0,,,0.5,,,,-0.1158526869348477,-0.0540687162868629,0.1158526869348477,0.7286138521284573,0.6491745769813212,0.8311214812995484,4,6,6,0.7548,0.8311,0.6854,0.6431,0.4741,0.8239,0.6556,0.6431,0.0001024819479876,0.0001548238745534,7.037469566114143e-05,8.4449178892343e-05,50.7,69,4,50.7,r-reservoir_sl12_st12_sp336_bu250_re0.5,,,,,,,,
yahoo-a1,gru,reservoir,12,12,336,B1,1000.0,,,0.5,,,,-0.1189386067780513,-0.0573077273600276,0.1189386067780513,0.7260767391149893,0.6500088637816391,0.8334083807496555,4,6,6,0.7548,0.8334,0.6779,0.6382,0.4788,0.8268,0.6561,0.6382,0.0001030666906234,0.0001557072703345,7.077625700104465e-05,8.493101333345598e-05,51.0,72,4,51.0,r-reservoir_sl12_st12_sp336_bu1000_re0.5,,,,,,,,
yahoo-a1,gru,reservoir,12,12,336,B1,50.0,,,,,,,-0.1352892016496397,-0.0650979208542712,0.1352892016496397,0.7214715429195024,0.6277544917495158,0.8297324218483497,4,6,6,0.7548,0.8244,0.6705,0.6362,0.4341,0.8227,0.618,0.6362,8.283893954282805e-05,0.0001251483391539,5.6885782002549e-05,6.826255715141694e-05,41.0,69,4,41.0,r-reservoir_sl12_st12_sp336_bu50,,,,,,,,
yahoo-a1,gru,reservoir,12,12,336,B1,50.0,,,0.3,,,,-0.1051487922003733,-0.0612657905177875,0.1051487922003733,0.722194804692468,0.6588482965121858,0.831410754977008,4,6,6,0.7548,0.8301,0.6727,0.6312,0.501,0.8314,0.6718,0.6312,3.177774467437325e-07,0.0001336761544921,6.076206053193244e-05,7.291409396023181e-05,43.7,67,4,43.8,r-reservoir_sl12_st12_sp336_bu50_re0.3,,,,,,,,
yahoo-a1,gru,lwf,12,12,336,B1,,,,,,0.1,2.0,-0.1327082993739035,-0.060708115752997,0.1327082993739035,0.7185523679560084,0.6291142242815726,0.8344262966146794,4,6,6,0.7548,0.8344,0.6486,0.6364,0.4359,0.8185,0.6257,0.6364,2.862865372327519e-07,0.0001204291990268,5.474070173545947e-05,6.56884972914122e-05,39.4,63,4,39.4,r-lwf_sl12_st12_sp336_al0.1_te2.0,,,,,,,,
yahoo-a1,gru,lwf,12,12,336,B1,,,,,,2.0,2.0,-0.1075998522911849,-0.0466437450349387,0.1075998522911849,0.7277998076658966,0.6438011634250137,0.8290146956486144,4,6,6,0.7548,0.8246,0.6905,0.6413,0.4662,0.8198,0.6479,0.6413,2.845910364979282e-07,0.0001197159702546,5.441651886471341e-05,6.529945138997088e-05,39.2,63,4,39.2,r-lwf_sl12_st12_sp336_al2.0_te2.0,,,,,,,,
yahoo-a1,gru,lwf,12,12,336,B1,,,,,,1.0,1.0,-0.0936621522220543,-0.048252073549002,0.0936621522220543,0.7280886811416576,0.6606168226826954,0.8289498983613401,4,6,6,0.7548,0.8155,0.7029,0.6391,0.5048,0.8232,0.6753,0.6391,3.101462757303345e-07,0.0001304660286452,5.930290642362606e-05,7.11631222216723e-05,42.7,70,4,42.7,r-lwf_sl12_st12_sp336_al1.0_te1.0,,,,,,,,
yahoo-a1,gru,lwf,12,12,336,B1,,,,,,1.0,5.0,-0.1323780733682177,-0.0601270979249536,0.1323780733682177,0.7189998125847917,0.6285262137319314,0.8340606110224188,4,6,6,0.7548,0.8341,0.6506,0.6366,0.4347,0.8181,0.6247,0.6366,7.943744975619909e-05,0.0001200095626341,5.454995520671623e-05,6.545960742747412e-05,39.3,63,4,39.3,r-lwf_sl12_st12_sp336_al1.0_te5.0,,,,,,,,
yahoo-a1,gru,naive,12,6,336,B3,,,,,,,,-0.1543427957588453,-0.0709720552059827,0.1543427957588453,0.6776495646939078,0.589978938614564,0.8290447146151432,4,6,6,0.7165,0.829,0.5347,0.6304,0.3564,0.8261,0.547,0.6304,0.0001330381914022,0.0002009865021199,9.13576949665892e-05,0.0001096288071533,65.8,65,4,65.8,r-naive_sl12_st6_sp336,,,,,,,,
yahoo-a1,gru,experts,12,6,336,B3,,,,,,,,-0.1699640216320781,-0.0755190540921904,0.1699640216320781,0.6763062758682408,0.5847308162857121,0.8261738098162021,4,6,6,0.7165,0.8262,0.5272,0.6353,0.3442,0.8207,0.5387,0.6353,0.0002309629470853,0.0003489256307886,0.000158602826274,0.0001903228045146,114.2,126,4,114.3,r-experts_sl12_st6_sp336,,,,,,,,
yahoo-a1,gru,ewc,12,6,336,B3,,,,,1000.0,,,-0.13732202209899,-0.0601991351865459,0.13732202209899,0.6906736034107259,0.6094952259162689,0.8356761772210624,4,6,6,0.7165,0.8357,0.5832,0.6273,0.4018,0.8294,0.5794,0.6273,0.0001419848286004,0.0002145025706807,9.7501372974754e-05,0.0001170011977059,70.2,63,4,70.2,r-ewc_sl12_st6_sp336_la1000.0,,,,,,,,
yahoo-a1,gru,lwf,12,6,336,B3,,,,,,1.0,2.0,-0.1484829092302734,-0.0540702372712273,0.1484829092302734,0.6944760992650802,0.5791828068223875,0.8264548965027905,4,6,6,0.7165,0.8265,0.6061,0.6288,0.3381,0.8229,0.5269,0.6288,0.00013256200645,0.0002002671090878,9.103070144774394e-05,0.00010923640764,65.5,60,4,65.6,r-lwf_sl12_st6_sp336_al1.0_te2.0,,,,,,,,
yahoo-a1,gru,random-buffer,12,12,168,B5,50.0,,,0.5,,,,-0.0075955727323745,-0.0807723450481321,0.0075955727323745,0.8282378875524163,0.8245065525793052,0.9949688667496884,8,28,28,0.9893,0.9723,0.9931,0.9408,0.9732,0.9706,0.9882,0.9324,0.0001047682363129,0.0001582778683915,7.194457818340095e-05,8.633329020813107e-05,51.8,82,8,51.8,r-random-buffer_sl12_st12_sp168_bu50_re0.5,0.6536,0.6308,0.881,0.5649,0.6436,0.6398,0.8832,0.5649
yahoo-a1,gru,lwf,12,12,168,B5,,,,,,1.0,2.0,-0.0109682907670547,-0.0867415944621703,0.0109682907670547,0.8305336356825935,0.817161661835408,0.9945205479452056,8,28,28,0.9893,0.9762,0.991,0.9424,0.9681,0.9677,0.9856,0.8942,8.114394561457245e-05,0.0001225876391236,5.572174467767279e-05,6.686589444599426e-05,40.1,73,8,40.1,r-lwf_sl12_st12_sp168_al1.0_te2.0,0.6568,0.6469,0.8699,0.5718,0.6605,0.615,0.8745,0.5718
yahoo-a1,lstm,naive,12,12,336,B1,,,,,,,,-0.1583660913713441,-0.1277808483338272,0.1583660913713442,0.7081847399291099,0.683694856540354,0.8834677033775704,4,6,6,0.8527,0.8252,0.5283,0.6266,0.562,0.8254,0.7208,0.6266,2.5093382911141845e-07,0.0001055577406494,4.798091099494033e-05,5.757682965447505e-05,34.5,54,4,34.6,r-naive_sl12_st12_sp336,,,,,,,,
yahoo-a1,lstm,random-buffer,12,12,336,B1,50.0,,,0.5,,,,-0.1855214383739297,-0.0951258530673254,0.1855214383739297,0.7438875890756765,0.6188030841472157,0.8834677033775704,4,6,6,0.8527,0.8426,0.6508,0.6294,0.4139,0.8372,0.5947,0.6294,0.0001725925703783,0.0002607429990336,0.000118519754517,0.0001422232445166,85.3,108,4,85.3,r-random-buffer_sl12_st12_sp336_bu50_re0.5,,,,,,,,
yahoo-a1,lstm,random-buffer,12,12,336,B1,100.0,,,0.5,,,,-0.2317116645254812,-0.1356019491127296,0.2317116645254812,0.7200374975546521,0.5999910731694941,0.8834677033775704,4,6,6,0.8527,0.8369,0.5624,0.6282,0.3656,0.8307,0.5754,0.6282,4.14158438575379e-07,0.0001742197502892,7.91909669571194e-05,9.50287833320908e-05,57.0,71,4,57.0,r-random-buffer_sl12_st12_sp336_bu100_re0.5,,,,,,,,
yahoo-a1,lstm,random-buffer,12,12,336,B1,500.0,,,0.5,,,,-0.2165408821199877,-0.1239995619325391,0.2165408821199877,0.7165029033955828,0.5948176688549256,0.8834677033775704,4,6,6,0.8527,0.8285,0.5364,0.6485,0.3477,0.8369,0.5462,0.6485,0.0001085005977514,0.0001639165069077,7.450766788097098e-05,8.940883902677645e-05,53.6,64,4,53.7,r-random-buffer_sl12_st12_sp336_bu500_re0.5,,,,,,,,
yahoo-a1,lstm,reservoir,12,12,336,B1,250.0,,,0.5,,,,-0.193456841460244,-0.1186016907815524,0.193456841460244,0.7203093997899552,0.6123374603438038,0.8834677033775704,4,6,6,0.8527,0.8355,0.5545,0.6385,0.404,0.8309,0.576,0.6385,0.0001016334218906,0.000153541969783,6.979192297634048e-05,8.37500468067204e-05,50.3,63,4,50.3,r-reservoir_sl12_st12_sp336_bu250_re0.5,,,,,,,,
yahoo-a1,lstm,reservoir,12,12,336,B1,500.0,,,0.5,,,,-0.2054074890903594,-0.1207905912591266,0.2054074890903594,0.7141969808833369,0.6034734190268352,0.8834677033775704,4,6,6,0.8527,0.8265,0.5347,0.6429,0.3841,0.8267,0.5602,0.6429,9.102497857025288e-05,0.000137515339434,6.25070663776973e-05,7.500827305639783e-05,45.0,54,4,45.0,r-reservoir_sl12_st12_sp336_bu500_re0.5,,,,,,,,
yahoo-a1,lstm,reservoir,12,12,336,B1,1000.0,,,0.5,,,,-0.2119469215573972,-0.1164860119327999,0.2119469215573972,0.7187689348872668,0.5877516706060489,0.8834677033775704,4,6,6,0.8527,0.8232,0.55,0.6492,0.3456,0.8272,0.529,0.6492,8.520914873438194e-05,0.0001287291158443,5.851334334454603e-05,7.0215772499796e-05,42.1,55,4,42.1,r-reservoir_sl12_st12_sp336_bu1000_re0.5,,,,,,,,
yahoo-a1,lstm,reservoir,12,12,336,B1,50.0,,,,,,,-0.2288677897302754,-0.1180638798432966,0.2288677897302754,0.7227366441085017,0.5732777139731648,0.8834677033775704,4,6,6,0.8527,0.8231,0.5667,0.6485,0.2947,0.8293,0.5206,0.6485,2.540972034519321e-07,0.0001068884446417,4.858573547486837e-05,5.8302709166891875e-05,35.0,55,4,35.0,r-reservoir_sl12_st12_sp336_bu50,,,,,,,,
yahoo-a1,lstm,reservoir,12,12,336,B1,50.0,,,0.3,,,,-0.1731191574258574,-0.1075247863138668,0.1731191574258574,0.7289998313883364,0.6436142110375137,0.8834677033775704,4,6,6,0.8527,0.8271,0.5912,0.645,0.4679,0.8245,0.637,0.645,2.95952009277729e-07,0.0001244950732654,5.658877847211745e-05,6.790629479335621e-05,40.7,59,4,40.8,r-reservoir_sl12_st12_sp336_bu50_re0.3,,,,,,,,
yahoo-a1,lstm,ewc,12,12,336,B1,,,,,5000.0,,,-0.1995939298656091,-0.0986699644013591,0.1995939298656091,0.7220267877583735,0.5819917814959066,0.8834677033775704,4,6,6,0.8527,0.8316,0.5577,0.6462,0.3268,0.8277,0.5272,0.6462,7.360049608115394e-05,0.0001111914263545,5.054165989665004e-05,6.064976645788798e-05,36.4,53,4,36.4,r-ewc_sl12_st12_sp336_la5000,,,,,,,,
yahoo-a1,lstm,ewc,12,12,336,B1,,,,,10000.0,,,-0.1544091271041062,-0.0843069663006346,0.1544091271041062,0.7370600994584373,0.6427579086652947,0.8834677033775704,4,6,6,0.8527,0.834,0.6076,0.6539,0.4547,0.8314,0.631,0.6539,7.264275089359131e-05,0.0001097445196194,4.988396406341861e-05,5.98605555559819e-05,35.9,52,4,35.9,r-ewc_sl12_st12_sp336_la10000,,,,,,,,
yahoo-a1,lstm,lwf,12,12,336,B1,,,,,,1.0,2.0,-0.1456749190010765,-0.111336727873798,0.1456749190010765,0.711929407381776,0.6754015723569208,0.8834677033775704,4,6,6,0.8527,0.8292,0.5326,0.6333,0.5328,0.8268,0.7087,0.6333,7.393829224833263e-05,0.0001117017495132,5.0773615278821026e-05,6.09281342344669e-05,36.6,56,4,36.6,r-lwf_sl12_st12_sp336_al1.0_te2.0,,,,,,,,
yahoo-a1,lstm,lwf,12,12,336,B1,,,,,,0.5,2.0,-0.1490005548149774,-0.1188892507833773,0.1490005548149774,0.710153491848553,0.6823174349474956,0.8834677033775704,4,6,6,0.8527,0.8275,0.5276,0.6329,0.5504,0.8282,0.7178,0.6329,2.655147233610974e-07,0.000111691334749,5.0768867941547395e-05,6.0922466807533055e-05,36.6,56,4,36.6,r-lwf_sl12_st12_sp336_al0.5_te2.0,,,,,,,,
yahoo-a1,lstm,lwf,12,12,336,B1,,,,,,1.0,1.0,-0.1779312366378383,-0.0703690259880742,0.1779312366378383,0.7481857147657369,0.5922714219175169,0.8834677033775704,4,6,6,0.8527,0.8402,0.6593,0.6406,0.3606,0.8269,0.541,0.6406,7.39395461167923e-05,0.0001117036437861,5.077450538261069e-05,6.09291384035411e-05,36.6,56,4,36.6,r-lwf_sl12_st12_sp336_al1.0_te1.0,,,,,,,,
yahoo-a1,lstm,lwf,12,12,336,B1,,,,,,1.0,5.0,-0.1573932811619079,-0.1244119408880857,0.1573932811619079,0.7081120306766815,0.6805147608579653,0.8834677033775704,4,6,6,0.8527,0.825,0.5281,0.6266,0.5509,0.8254,0.7192,0.6266,7.203545899285879e-05,0.0001088270576965,4.946693547535688e-05,5.936012222121159e-05,35.6,54,4,35.6,r-lwf_sl12_st12_sp336_al1.0_te5.0,,,,,,,,
yahoo-a1,lstm,cumulative,12,6,336,B3,,,,,,,,-0.1256914648399193,-0.0901410948484231,0.1256914648399193,0.6784509734230115,0.6604252463154243,0.8255679724917107,4,6,6,0.7144,0.8187,0.5328,0.6478,0.5101,0.8256,0.6582,0.6478,0.0003075089597565,0.0004645669753968,0.0002111671334507,0.000253399841946,152.0,75,4,152.0,r-cumulative_sl12_st6_sp336,,,,,,,,
yahoo-a1,lstm,ewc,12,6,336,B3,,,,,1000.0,,,-0.1794861231000469,-0.0863688315324487,0.1794861231000469,0.6739577235452014,0.5688682575216597,0.8199762577264726,4,6,6,0.7144,0.82,0.5347,0.6267,0.2985,0.8156,0.5346,0.6267,0.00012697041851,0.0001918196573484,8.719087193215576e-05,0.0001046287854163,62.8,55,4,62.8,r-ewc_sl12_st6_sp336_la1000.0,,,,,,,,
yahoo-a1,lstm,naive,12,12,168,B5,,,,,,,,0.0019437332043177,-0.1394080125216253,-0.0019437332043177,0.8074765351483352,0.8158553871902279,0.9918306351183064,8,28,28,0.9764,0.9711,0.9856,0.8758,0.9415,0.9625,0.9792,0.864,2.84964831074704e-07,0.0001198732105563,5.44879111118563e-05,6.538529944450905e-05,39.2,80,8,39.2,r-naive_sl12_st12_sp168,0.5997,0.6351,0.8806,0.5356,0.7426,0.6168,0.8846,0.5356
