dataset,arch,regime,run_id,seq_len,stride,split_size,buffer_size,novelty_threshold,retention_threshold,replay_ratio,alpha,temperature,orig_final_avg_auc,n_concepts,elapsed_s
yahoo-a1,gru,random-buffer,r-random-buffer_sl6_st6_sp336_bu50_re0.5,6,6,336,50,,,0.5,,,0.7051532091308091,4,81.0
yahoo-a1,gru,reservoir,r-reservoir_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.6864090628943711,4,83.7
yahoo-a1,gru,gdumb,r-gdumb_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.6918785341792242,4,987.5
yahoo-a1,gru,derpp,r-derpp_sl24_st24_sp336_bu50_re0.5_al0.5_te0.5,24,24,336,50,,,0.5,0.5,0.5,0.6945287361883429,4,102.9
yahoo-a1,gru,strb,r-strb_sl6_st6_sp336_bu50_no0.2_re0.9_re0.5,6,6,336,50,0.2,0.9,0.5,,,0.6911787924428731,4,967.0
yahoo-a1,lstm,random-buffer,r-random-buffer_sl6_st6_sp336_bu50_re0.5,6,6,336,50,,,0.5,,,0.7061938496232989,4,76.5
yahoo-a1,lstm,reservoir,r-reservoir_sl6_st6_sp336_bu50_re0.5,6,6,336,50,,,0.5,,,0.7034000852879598,4,69.6
yahoo-a1,lstm,gdumb,r-gdumb_sl6_st6_sp336_bu50_re0.5,6,6,336,50,,,0.5,,,0.6812820063316258,4,82.0
yahoo-a1,lstm,derpp,r-derpp_sl6_st6_sp336_bu50_re0.5_al0.5_te0.5,6,6,336,50,,,0.5,0.5,0.5,0.6831243463625415,4,98.8
yahoo-a1,lstm,strb,r-strb_sl6_st6_sp336_bu50_no0.2_re0.9_re0.5,6,6,336,50,0.2,0.9,0.5,,,0.7128058056465779,4,72.3
yahoo-a1,tcn,random-buffer,r-random-buffer_sl24_st12_sp336_bu50_re0.5,24,12,336,50,,,0.5,,,0.6142377610164379,4,59.5
yahoo-a1,tcn,reservoir,r-reservoir_sl6_st6_sp336_bu50_re0.5,6,6,336,50,,,0.5,,,0.681394361715631,4,58.0
yahoo-a1,tcn,gdumb,r-gdumb_sl6_st6_sp336_bu50_re0.5,6,6,336,50,,,0.5,,,0.6869627479509421,4,65.8
yahoo-a1,tcn,derpp,r-derpp_sl6_st6_sp336_bu50_re0.5_al0.5_te0.5,6,6,336,50,,,0.5,0.5,0.5,0.6945190770223276,4,71.5
yahoo-a1,tcn,strb,r-strb_sl6_st6_sp336_bu50_no0.2_re0.9_re0.5,6,6,336,50,0.2,0.9,0.5,,,0.7226486961276766,4,55.8
yahoo-a1,vgru,random-buffer,r-random-buffer_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.8840072216874594,4,49.8
yahoo-a1,vgru,reservoir,r-reservoir_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.8997420781981176,4,52.0
yahoo-a1,vgru,gdumb,r-gdumb_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.9015387912711988,4,50.9
yahoo-a1,vgru,derpp,r-derpp_sl24_st24_sp336_bu50_re0.5_al0.5_te0.5,24,24,336,50,,,0.5,0.5,0.5,0.9087384432347364,4,74.1
yahoo-a1,vgru,strb,r-strb_sl12_st12_sp336_bu50_no0.2_re0.9_re0.9,12,12,336,50,0.2,0.9,0.9,,,0.9137196401246528,4,191.2
yahoo-a1,vlstm,random-buffer,r-random-buffer_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.8833694067722987,4,54.8
yahoo-a1,vlstm,reservoir,r-reservoir_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.8985318696265193,4,47.0
yahoo-a1,vlstm,gdumb,r-gdumb_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.9011713962942955,4,44.6
yahoo-a1,vlstm,derpp,r-derpp_sl24_st24_sp336_bu50_re0.5_al0.5_te0.5,24,24,336,50,,,0.5,0.5,0.5,0.9089002950123484,4,70.2
yahoo-a1,vlstm,strb,r-strb_sl8_st4_sp336_bu50_no0.2_re0.9_re0.5,8,4,336,50,0.2,0.9,0.5,,,0.9121220845373812,4,107.5
yahoo-a1,vtcn,random-buffer,r-random-buffer_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.8876102036112274,4,18.6
yahoo-a1,vtcn,reservoir,r-reservoir_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.9016637223162068,4,20.7
yahoo-a1,vtcn,gdumb,r-gdumb_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.9073783983571406,4,21.9
yahoo-a1,vtcn,derpp,r-derpp_sl24_st24_sp336_bu50_re0.5_al0.5_te0.5,24,24,336,50,,,0.5,0.5,0.5,0.9098699243767427,4,33.6
yahoo-a1,vtcn,strb,r-strb_sl12_st12_sp336_bu50_no0.2_re0.9_re0.9,12,12,336,50,0.2,0.9,0.9,,,0.912569087301068,4,98.1
yahoo-a1,vgru-kl,random-buffer,r-random-buffer_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.7990361355495973,4,53.7
yahoo-a1,vgru-kl,reservoir,r-reservoir_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.83361839285273,4,46.3
yahoo-a1,vgru-kl,gdumb,r-gdumb_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.8634293006373931,4,46.6
yahoo-a1,vgru-kl,derpp,r-derpp_sl24_st24_sp336_bu50_re0.5_al0.5_te0.5,24,24,336,50,,,0.5,0.5,0.5,0.8312032908888498,4,65.6
yahoo-a1,vgru-kl,strb,r-strb_sl12_st12_sp336_bu50_no0.2_re0.9_re0.9,12,12,336,50,0.2,0.9,0.9,,,0.8419149399496133,4,116.9
yahoo-a1,vlstm-kl,random-buffer,r-random-buffer_sl12_st12_sp336_bu50_re0.5,12,12,336,50,,,0.5,,,0.8156245883764615,4,38.5
yahoo-a1,vlstm-kl,reservoir,r-reservoir_sl12_st12_sp336_bu50_re0.5,12,12,336,50,,,0.5,,,0.8199479247969846,4,37.0
yahoo-a1,vlstm-kl,gdumb,r-gdumb_sl12_st12_sp336_bu50_re0.5,12,12,336,50,,,0.5,,,0.8406306350597954,4,38.5
yahoo-a1,vlstm-kl,derpp,r-derpp_sl12_st12_sp336_bu50_re0.5_al0.5_te1.0,12,12,336,50,,,0.5,0.5,1.0,0.8865874505141158,4,51.2
