dataset,arch,regime,run_id,seq_len,stride,split_size,buffer_size,novelty_threshold,retention_threshold,replay_ratio,alpha,temperature,orig_final_avg_auc,n_concepts,elapsed_s
yahoo-a1,gru,random-buffer,r-random-buffer_sl6_st6_sp336_bu50_re0.5,6,6,336,50,,,0.5,,,0.7051532091308091,4,74.9
yahoo-a1,gru,reservoir,r-reservoir_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.6864090628943711,4,79.6
yahoo-a1,lstm,random-buffer,r-random-buffer_sl6_st6_sp336_bu50_re0.5,6,6,336,50,,,0.5,,,0.7061938496232989,4,77.8
yahoo-a1,lstm,reservoir,r-reservoir_sl6_st6_sp336_bu50_re0.5,6,6,336,50,,,0.5,,,0.7034000852879598,4,75.3
yahoo-a1,tcn,random-buffer,r-random-buffer_sl24_st12_sp336_bu50_re0.5,24,12,336,50,,,0.5,,,0.6142377610164379,4,45.6
yahoo-a1,tcn,reservoir,r-reservoir_sl6_st6_sp336_bu50_re0.5,6,6,336,50,,,0.5,,,0.681394361715631,4,29.1
yahoo-a1,vgru,random-buffer,r-random-buffer_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.8840072216874594,4,49.0
yahoo-a1,vgru,reservoir,r-reservoir_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.8997420781981176,4,52.6
yahoo-a1,vlstm,random-buffer,r-random-buffer_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.8833694067722987,4,54.5
yahoo-a1,vlstm,reservoir,r-reservoir_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.8985318696265193,4,46.4
yahoo-a1,vtcn,random-buffer,r-random-buffer_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.8876102036112274,4,11.3
yahoo-a1,vtcn,reservoir,r-reservoir_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.9016637223162068,4,14.2
yahoo-a1,vgru-kl,random-buffer,r-random-buffer_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.7990361355495973,4,42.5
yahoo-a1,vgru-kl,reservoir,r-reservoir_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.83361839285273,4,41.6
yahoo-a1,vlstm-kl,random-buffer,r-random-buffer_sl12_st12_sp336_bu50_re0.5,12,12,336,50,,,0.5,,,0.8156245883764615,4,36.7
yahoo-a1,vlstm-kl,reservoir,r-reservoir_sl12_st12_sp336_bu50_re0.5,12,12,336,50,,,0.5,,,0.8199479247969846,4,36.9
yahoo-a1,vtcn-kl,random-buffer,r-random-buffer_sl24_st24_sp336_bu50_re0.5,24,24,336,50,,,0.5,,,0.8443599145231173,4,10.4
yahoo-a1,vtcn-kl,reservoir,r-reservoir_sl6_st6_sp336_bu50_re0.5,6,6,336,50,,,0.5,,,0.8277627185484344,4,18.2
