model,regime,run_id,n_concepts,fwt_lopez_paz
gru,cumulative,r-cumulative_sl10_st10_sp336,5,0.48253253985851663
gru,cumulative,r-cumulative_sl12_st12_sp168,10,0.42101462778788706
gru,cumulative,r-cumulative_sl12_st12_sp336,5,0.4396193244526964
gru,cumulative,r-cumulative_sl12_st6_sp336,5,0.4725179543855177
gru,cumulative,r-cumulative_sl16_st16_sp336,5,0.4347392611609382
gru,cumulative,r-cumulative_sl24_st12_sp336,5,0.38561069012767013
gru,cumulative,r-cumulative_sl24_st24_sp336,5,0.3729422281485276
gru,cumulative,r-cumulative_sl6_st6_sp336,5,0.48117808195196216
gru,cumulative,r-cumulative_sl8_st4_sp336,5,0.48590540160686385
gru,cumulative,r-cumulative_sl8_st8_sp336,5,0.4750503943391308
lstm,cumulative,r-cumulative_sl10_st10_sp336,5,0.4824383901173788
lstm,cumulative,r-cumulative_sl12_st12_sp168,10,0.43478218081747727
lstm,cumulative,r-cumulative_sl12_st12_sp336,5,0.43155966167255394
lstm,cumulative,r-cumulative_sl12_st6_sp336,5,0.46978919348762826
lstm,cumulative,r-cumulative_sl16_st16_sp336,5,0.454270994243395
lstm,cumulative,r-cumulative_sl24_st12_sp336,5,0.397203155374965
lstm,cumulative,r-cumulative_sl24_st24_sp336,5,0.3768105735224088
lstm,cumulative,r-cumulative_sl6_st6_sp336,5,0.47482804768245035
lstm,cumulative,r-cumulative_sl8_st4_sp336,5,0.47968888612127425
lstm,cumulative,r-cumulative_sl8_st8_sp336,5,0.47840602800796495
tcn,cumulative,r-cumulative_sl10_st10_sp336,5,0.47298811604354696
tcn,cumulative,r-cumulative_sl12_st12_sp168,10,0.41464350141996753
tcn,cumulative,r-cumulative_sl12_st12_sp336,5,0.4086325439796602
tcn,cumulative,r-cumulative_sl12_st6_sp336,5,0.44408708044080303
tcn,cumulative,r-cumulative_sl16_st16_sp336,5,0.4088167799394068
tcn,cumulative,r-cumulative_sl24_st12_sp336,5,0.35036099176986657
tcn,cumulative,r-cumulative_sl24_st24_sp336,5,0.3268429957319277
tcn,cumulative,r-cumulative_sl6_st6_sp336,5,0.4500585889481438
tcn,cumulative,r-cumulative_sl8_st4_sp336,5,0.4711705059612569
tcn,cumulative,r-cumulative_sl8_st8_sp336,5,0.4758299912305508
vgru,cumulative,r-cumulative_sl10_st10_sp336,5,0.20304653286711605
vgru,cumulative,r-cumulative_sl12_st12_sp168,10,0.193500419285484
vgru,cumulative,r-cumulative_sl12_st12_sp336,5,0.20289411673984173
vgru,cumulative,r-cumulative_sl12_st6_sp336,5,0.20925518929873876
vgru,cumulative,r-cumulative_sl16_st16_sp336,5,0.2102422538038737
vgru,cumulative,r-cumulative_sl24_st12_sp336,5,0.2149999772707677
vgru,cumulative,r-cumulative_sl24_st24_sp336,5,0.21878352600366335
vgru,cumulative,r-cumulative_sl6_st6_sp336,5,0.194215697991689
vgru,cumulative,r-cumulative_sl8_st4_sp336,5,0.19754020328605182
vgru,cumulative,r-cumulative_sl8_st8_sp336,5,0.19696871200820945
vgru-kl,cumulative,r-cumulative_sl12_st12_sp336,5,0.2791077918469349
vlstm,cumulative,r-cumulative_sl10_st10_sp336,5,0.2034481876912971
vlstm,cumulative,r-cumulative_sl12_st12_sp168,10,0.1966456844862953
vlstm,cumulative,r-cumulative_sl12_st12_sp336,5,0.20254415523463404
vlstm,cumulative,r-cumulative_sl12_st6_sp336,5,0.20961797540571997
vlstm,cumulative,r-cumulative_sl16_st16_sp336,5,0.21108676349772582
vlstm,cumulative,r-cumulative_sl24_st12_sp336,5,0.21594276761953315
vlstm,cumulative,r-cumulative_sl24_st24_sp336,5,0.22087856120445756
vlstm,cumulative,r-cumulative_sl6_st6_sp336,5,0.19399146249753216
vlstm,cumulative,r-cumulative_sl8_st4_sp336,5,0.19746332388816518
vlstm,cumulative,r-cumulative_sl8_st8_sp336,5,0.19662823503004537
vlstm-kl,cumulative,r-cumulative_sl12_st12_sp336,5,0.2782669852685844
vtcn,cumulative,r-cumulative_sl10_st10_sp336,5,0.20492469382980416
vtcn,cumulative,r-cumulative_sl12_st12_sp168,10,0.1932150585441524
vtcn,cumulative,r-cumulative_sl12_st12_sp336,5,0.20299590292798247
vtcn,cumulative,r-cumulative_sl12_st6_sp336,5,0.20856779106360782
vtcn,cumulative,r-cumulative_sl16_st16_sp336,5,0.20969588064059455
vtcn,cumulative,r-cumulative_sl24_st12_sp336,5,0.21511884507662898
vtcn,cumulative,r-cumulative_sl24_st24_sp336,5,0.21603842822040525
vtcn,cumulative,r-cumulative_sl6_st6_sp336,5,0.19511369992299277
vtcn,cumulative,r-cumulative_sl8_st4_sp336,5,0.1965570313650934
vtcn,cumulative,r-cumulative_sl8_st8_sp336,5,0.19075949570870385
vtcn-kl,cumulative,r-cumulative_sl12_st12_sp336,5,0.2782680866684919
gru,derpp,r-derpp_sl12_st12_sp336_bu100_re0.5_al0.5_te0.5,5,0.43381355375119757
gru,derpp,r-derpp_sl12_st12_sp336_bu500_re0.5_al0.5_te0.5,5,0.433445997032361
lstm,derpp,r-derpp_sl12_st12_sp336_bu100_re0.5_al0.5_te0.5,5,0.43786863009570226
lstm,derpp,r-derpp_sl12_st12_sp336_bu500_re0.5_al0.5_te0.5,5,0.4417364632573151
tcn,derpp,r-derpp_sl12_st12_sp336_bu100_re0.5_al0.5_te0.5,5,0.41445759386132863
tcn,derpp,r-derpp_sl12_st12_sp336_bu500_re0.5_al0.5_te0.5,5,0.4147139973952447
vgru,derpp,r-derpp_sl12_st12_sp336_bu100_re0.5_al0.5_te0.5,5,0.20207102751822567
vgru,derpp,r-derpp_sl12_st12_sp336_bu500_re0.5_al0.5_te0.5,5,0.20229979120146271
vgru-kl,derpp,r-derpp_sl12_st12_sp336_bu100_re0.5_al0.5_te0.5,5,0.27218658977755783
vgru-kl,derpp,r-derpp_sl12_st12_sp336_bu500_re0.5_al0.5_te0.5,5,0.28895737364333257
vlstm,derpp,r-derpp_sl12_st12_sp336_bu100_re0.5_al0.5_te0.5,5,0.2009401279246529
vlstm,derpp,r-derpp_sl12_st12_sp336_bu500_re0.5_al0.5_te0.5,5,0.20110417710527273
vlstm-kl,derpp,r-derpp_sl12_st12_sp336_bu100_re0.5_al0.5_te0.5,5,0.2760675122261438
vlstm-kl,derpp,r-derpp_sl12_st12_sp336_bu500_re0.5_al0.5_te0.5,5,0.2749776634756309
vtcn,derpp,r-derpp_sl12_st12_sp336_bu100_re0.5_al0.5_te0.5,5,0.2030073127451383
vtcn,derpp,r-derpp_sl12_st12_sp336_bu500_re0.5_al0.5_te0.5,5,0.2000677505107697
vtcn-kl,derpp,r-derpp_sl12_st12_sp336_bu100_re0.5_al0.5_te0.5,5,0.2879553194499827
vtcn-kl,derpp,r-derpp_sl12_st12_sp336_bu500_re0.5_al0.5_te0.5,5,0.29296590835482805
gru,ewc,r-ewc_sl10_st10_sp336_la1000.0,5,0.47494653580518986
gru,ewc,r-ewc_sl12_st12_sp168_la1000.0,10,0.37389373174846763
gru,ewc,r-ewc_sl12_st12_sp336_la100,5,0.43253431280776466
gru,ewc,r-ewc_sl12_st12_sp336_la1000.0,5,0.4282976335162587
gru,ewc,r-ewc_sl12_st12_sp336_la10000,5,0.42396390088620883
gru,ewc,r-ewc_sl12_st12_sp336_la500,5,0.43026470456527094
gru,ewc,r-ewc_sl12_st12_sp336_la5000,5,0.4247588789965251
gru,ewc,r-ewc_sl12_st6_sp336_la1000.0,5,0.46948799476441766
gru,ewc,r-ewc_sl16_st16_sp336_la1000.0,5,0.4355485709196362
gru,ewc,r-ewc_sl24_st12_sp336_la1000.0,5,0.39337297432183843
gru,ewc,r-ewc_sl24_st24_sp336_la1000.0,5,0.37305735594848344
gru,ewc,r-ewc_sl6_st6_sp336_la1000.0,5,0.4808015607740941
gru,ewc,r-ewc_sl8_st4_sp336_la1000.0,5,0.4843058796373523
gru,ewc,r-ewc_sl8_st8_sp336_la1000.0,5,0.4698029825989922
lstm,ewc,r-ewc_sl10_st10_sp336_la1000.0,5,0.4781996706685875
lstm,ewc,r-ewc_sl12_st12_sp168_la1000.0,10,0.4155407996755247
lstm,ewc,r-ewc_sl12_st12_sp336_la100,5,0.43508208565625356
lstm,ewc,r-ewc_sl12_st12_sp336_la1000.0,5,0.4327963840189184
