dataset,model,regime,seq_len,stride,split_size,block,buffer_size,novelty_threshold,retention_threshold,replay_ratio,lambda_ewc,alpha,temperature,bwt,fwt,af,avg_diagonal_auc,final_avg_auc,peak_auc,n_valid_diag,n_valid_bwt_pairs,n_valid_af_pairs,diag_c0,diag_c1,diag_c2,diag_c3,diag_c4,final_c0,final_c1,final_c2,final_c3,final_c4,co2_kg,energy_kwh,cpu_energy_kwh,ram_energy_kwh,cc_duration_s,total_epochs,n_concepts,elapsed_s,run_id,diag_c5,diag_c6,diag_c7,diag_c8,diag_c9,final_c5,final_c6,final_c7,final_c8,final_c9
yahoo-a4,gru,naive,12,12,336,B1,,,,,,,,0.0057038820196952,0.0087992777476581,-0.0057038820196952,0.9457805899523956,0.9532274569076332,0.9758159802384518,5,10,10,0.9656,0.9436,0.9443,0.9098,0.9656,0.9758,0.9506,0.959,0.9152,0.9656,0.0001293370336599,0.000195395004366,8.88161913795759e-05,0.0001065788129864,63.9,58,5,64.0,r-naive_sl12_st12_sp336,,,,,,,,,,
yahoo-a4,gru,cumulative,12,12,336,B1,,,,,,,,0.00657828795808,0.018772962995313,-0.00657828795808,0.9545240969686268,0.960569255162768,0.9820924136792892,5,10,10,0.9656,0.9569,0.9588,0.9166,0.9748,0.9818,0.9589,0.9643,0.9231,0.9748,0.000472444804758,0.000713742630986,0.0003244292395273,0.0003893133914587,233.6,117,5,233.6,r-cumulative_sl12_st12_sp336,,,,,,,,,,
yahoo-a4,gru,experts,12,12,336,B1,,,,,,,,0.0026978576097638,-0.0001602960753518,-0.0026978576097638,0.9422824817822398,0.942704353742426,0.978672415821177,5,10,10,0.9656,0.9385,0.9266,0.9197,0.961,0.9662,0.9397,0.948,0.8987,0.961,0.0002030325904672,0.0003067300430369,0.0001394230935205,0.0001673069495164,100.4,120,5,100.4,r-experts_sl12_st12_sp336,,,,,,,,,,
yahoo-a4,gru,random-buffer,12,12,336,B1,50.0,,,0.5,,,,0.0058055633889444,0.0014936849196823,-0.0058055633889444,0.942420892506864,0.952712337156469,0.975833536695629,5,10,10,0.9656,0.934,0.937,0.9093,0.9662,0.9758,0.9502,0.9552,0.9161,0.9662,5.483536279622396e-07,0.0002306702537859,0.000104850402951,0.0001258198508348,75.5,54,5,75.5,r-random-buffer_sl12_st12_sp336_bu50_re0.5,,,,,,,,,,
yahoo-a4,gru,random-buffer,12,12,336,B1,100.0,,,0.5,,,,0.0059896465122972,0.0088652244027559,-0.0059896465122972,0.946482699058796,0.9535394579208972,0.9772661436012858,5,10,10,0.9656,0.9396,0.9475,0.9125,0.9672,0.9773,0.9501,0.9567,0.9164,0.9672,6.007516840150003e-07,0.0002527120025247,0.0001148693918981,0.0001378426106266,82.7,60,5,82.7,r-random-buffer_sl12_st12_sp336_bu100_re0.5,,,,,,,,,,
yahoo-a4,gru,random-buffer,12,12,336,B1,250.0,,,0.5,,,,0.0084192674977645,0.0125281261991683,-0.0084192674977645,0.9496504115693304,0.958612141183448,0.9816886151642144,5,10,10,0.9656,0.9444,0.9527,0.9156,0.9699,0.9817,0.956,0.9625,0.9229,0.9699,0.0001644666860852,0.0002484668770908,0.0001129398072319,0.0001355270698588,81.3,58,5,81.3,r-random-buffer_sl12_st12_sp336_bu250_re0.5,,,,,,,,,,
yahoo-a4,gru,random-buffer,12,12,336,B1,500.0,,,0.5,,,,0.0073245326728314,0.0156401998415405,-0.0073245326728314,0.9513019540758052,0.9588839103789406,0.9815955659411753,5,10,10,0.9656,0.949,0.9551,0.9161,0.9706,0.9816,0.9565,0.9622,0.9234,0.9706,0.0001694830557349,0.0002560453218863,0.000116384564873,0.0001396607570132,83.8,60,5,83.8,r-random-buffer_sl12_st12_sp336_bu500_re0.5,,,,,,,,,,
yahoo-a4,gru,random-buffer,12,12,336,B1,1000.0,,,0.5,,,,0.0063424904831282,0.0073856760024198,-0.0063424904831282,0.945872599758946,0.9530491174406288,0.9780438946542344,5,10,10,0.9656,0.9387,0.9491,0.9105,0.9655,0.978,0.9516,0.9565,0.9136,0.9655,0.000159717137915,0.0002412915309491,0.0001096782841428,0.0001316132468062,79.0,56,5,79.0,r-random-buffer_sl12_st12_sp336_bu1000_re0.5,,,,,,,,,,
yahoo-a4,gru,random-buffer,12,12,336,B1,50.0,,,,,,,0.0047238890478652,0.0071865098123479,-0.0047238890478652,0.9454327912984422,0.9529122315188966,0.9749855598139718,5,10,10,0.9656,0.9413,0.942,0.9106,0.9677,0.975,0.9501,0.9568,0.915,0.9677,0.0001243891359031,0.000187920002996,8.5418445428109e-05,0.0001025015575679,61.5,55,5,61.5,r-random-buffer_sl12_st12_sp336_bu50,,,,,,,,,,
yahoo-a4,gru,random-buffer,12,12,336,B1,50.0,,,0.3,,,,0.0049575144080087,0.0024693939864219,-0.0049575144080087,0.943572121719354,0.949090483545566,0.9738759917203748,5,10,10,0.9656,0.9352,0.9444,0.9095,0.9632,0.9739,0.9457,0.952,0.9107,0.9632,0.0001348842637443,0.0002037754427901,9.262546209502032e-05,0.0001111499806951,66.7,54,5,66.7,r-random-buffer_sl12_st12_sp336_bu50_re0.3,,,,,,,,,,
